Date,Max Temperature (F),Min Temperature (F),Humidity (%),Weather,Description,Rainfall (mm),Pressure (hPa),Wind Speed (m/s),Wind Direction (°),Clouds (%)
08/03/2023 10:00:00,88.65,83.82,68,Clouds,few clouds,0.0,1005,8.23,190,20
08/03/2023 11:00:00,87.64,82.74,70,Clouds,few clouds,0.0,1006,7.2,180,20
08/03/2023 12:00:00,87.58,80.74,74,Clear,clear sky,0.0,1007,6.69,180,0
08/03/2023 13:00:00,86.63,82.74,75,Clouds,few clouds,0.0,1007,6.69,200,20
08/03/2023 14:00:00,88.56,82.62,72,Clouds,few clouds,0.0,1006,6.69,190,20
08/03/2023 15:00:00,86.63,81.61,72,Clear,clear sky,0.0,1006,7.72,190,0
08/03/2023 16:00:00,87.55,80.62,71,Clear,clear sky,0.0,1006,7.2,190,0
08/03/2023 17:00:00,87.55,78.75,72,Clear,clear sky,0.0,1006,7.2,210,0
08/03/2023 18:00:00,85.62,77.76,72,Clear,clear sky,0.0,1005,6.17,220,0
08/03/2023 19:00:00,84.61,78.62,73,Clear,clear sky,0.0,1005,5.14,230,0
08/03/2023 20:00:00,84.61,76.75,78,Clear,clear sky,0.0,1005,4.63,240,0
08/03/2023 21:00:00,86.56,78.04,76,Clouds,few clouds,0.0,1006,3.6,240,20
08/03/2023 22:00:00,88.59,81.05,71,Clouds,few clouds,0.0,1006,4.12,190,20
08/03/2023 23:00:00,91.62,85.05,62,Clouds,few clouds,0.0,1006,3.09,230,20
08/04/2023 00:00:00,92.79,89.15,58,Clear,clear sky,0.0,1007,4.63,180,0
08/04/2023 01:00:00,96.8,88.5,53,Clouds,few clouds,0.0,1006,6.69,180,20
08/04/2023 02:00:00,98.8,91.02,54,Clouds,few clouds,0.0,1005,6.17,160,20
08/04/2023 03:00:00,100.31,92.82,51,Clear,clear sky,0.0,1005,7.2,180,0
08/04/2023 04:00:00,100.8,92.82,53,Clouds,few clouds,0.0,1004,7.72,180,20
08/04/2023 05:00:00,99.79,92.75,51,Clouds,few clouds,0.0,1004,8.23,190,20
08/04/2023 06:00:00,99.55,91.74,48,Clear,clear sky,0.0,1003,8.23,190,0
08/04/2023 07:00:00,97.81,92.79,52,Clouds,few clouds,0.0,1002,8.23,190,20
08/04/2023 08:00:00,97.79,90.79,52,Clear,clear sky,0.0,1002,3.13,124,3
08/04/2023 09:00:00,96.55,88.66,59,Clouds,broken clouds,0.0,1002,8.75,200,75
08/04/2023 10:00:00,93.79,86.67,63,Clouds,broken clouds,0.0,1003,7.72,190,75
08/04/2023 11:00:00,92.05,84.74,66,Clouds,broken clouds,0.0,1003,7.72,190,75
08/04/2023 12:00:00,91.54,84.74,68,Clear,clear sky,0.0,1003,8.75,190,0
08/04/2023 13:00:00,90.55,84.74,69,Clouds,broken clouds,0.0,1004,7.2,200,75
08/04/2023 14:00:00,87.64,83.75,69,Clear,clear sky,0.0,1003,8.23,210,0
08/04/2023 15:00:00,87.62,82.74,71,Clear,clear sky,0.0,1003,7.2,210,0
08/04/2023 16:00:00,87.62,81.75,74,Clear,clear sky,0.0,1003,7.2,210,0
08/04/2023 17:00:00,86.63,81.75,76,Clear,clear sky,0.0,1003,5.66,210,0
08/04/2023 18:00:00,86.63,80.74,77,Clear,clear sky,0.0,1002,5.14,200,0
08/04/2023 19:00:00,86.63,80.74,76,Clear,clear sky,0.0,1002,5.14,220,0
08/04/2023 20:00:00,86.63,80.74,75,Clouds,scattered clouds,0.0,1003,6.17,210,40
08/04/2023 21:00:00,87.58,80.74,73,Clouds,scattered clouds,0.0,1003,4.63,200,40
08/04/2023 22:00:00,88.75,83.05,68,Clouds,few clouds,0.0,1003,5.14,200,20
08/04/2023 23:00:00,91.78,85.05,66,Clouds,few clouds,0.0,1003,6.69,190,20
08/05/2023 00:00:00,92.79,89.15,62,Clouds,scattered clouds,0.0,1004,6.17,190,40
08/05/2023 01:00:00,95.56,89.22,57,Clouds,few clouds,0.0,1003,7.2,190,20
08/05/2023 02:00:00,96.58,91.02,55,Clouds,few clouds,0.0,1002,8.23,180,20
08/05/2023 03:00:00,97.59,91.02,55,Clouds,few clouds,0.0,1002,8.75,180,20
08/05/2023 04:00:00,96.58,89.22,56,Clouds,few clouds,0.0,1002,10.29,180,20
08/05/2023 05:00:00,96.75,90.75,59,Clouds,few clouds,0.0,1001,9.77,180,20
08/05/2023 06:00:00,97.59,88.66,60,Clouds,few clouds,0.0,1001,10.8,180,20
08/05/2023 07:00:00,95.56,86.67,64,Clouds,few clouds,0.0,1001,10.29,190,20
08/05/2023 08:00:00,92.55,85.75,66,Clouds,few clouds,0.0,1001,10.29,190,20
08/05/2023 09:00:00,89.8,84.74,70,Clouds,few clouds,0.0,1001,10.8,190,20
08/05/2023 10:00:00,86.81,83.66,76,Clouds,few clouds,0.0,1002,8.75,190,20
08/05/2023 11:00:00,85.8,81.75,77,Clouds,few clouds,0.0,1002,9.26,190,20
08/05/2023 12:00:00,85.59,80.74,78,Clouds,few clouds,0.0,1002,7.2,190,20
08/05/2023 13:00:00,84.63,79.75,78,Clouds,few clouds,0.0,1002,7.72,190,20
08/05/2023 14:00:00,84.63,80.74,79,Clouds,few clouds,0.0,1002,7.2,200,20
08/05/2023 15:00:00,83.8,80.74,80,Clouds,few clouds,0.0,1002,5.66,200,20
08/05/2023 16:00:00,83.64,80.74,82,Clouds,few clouds,0.0,1002,5.14,200,20
08/05/2023 17:00:00,83.64,80.62,81,Clouds,few clouds,0.0,1002,6.17,180,20
08/05/2023 18:00:00,83.64,79.05,83,Clouds,few clouds,0.0,1001,6.17,180,20
08/05/2023 19:00:00,83.64,78.75,84,Clouds,scattered clouds,0.0,1001,4.63,190,40
08/05/2023 20:00:00,82.63,78.04,83,Clouds,broken clouds,0.0,1002,3.09,190,75
08/05/2023 21:00:00,85.55,78.04,82,Clouds,scattered clouds,0.0,1002,3.09,200,40
08/05/2023 22:00:00,85.75,79.75,80,Clouds,scattered clouds,0.0,1002,4.12,150,40
08/05/2023 23:00:00,88.59,83.05,72,Clouds,few clouds,0.0,1002,4.12,160,20
08/06/2023 00:00:00,91.54,85.24,69,Clouds,few clouds,0.0,1003,4.63,150,20
08/06/2023 01:00:00,91.54,86.65,66,Clouds,scattered clouds,0.0,1002,4.63,140,40
08/06/2023 02:00:00,92.79,84.25,68,Clouds,broken clouds,0.0,1003,4.12,160,75
08/06/2023 03:00:00,95.59,85.24,59,Clouds,scattered clouds,0.0,1001,4.12,190,40
08/06/2023 04:00:00,94.55,83.44,67,Clouds,scattered clouds,0.0,1001,5.66,190,40
08/06/2023 05:00:00,93.54,83.66,69,Clouds,scattered clouds,0.0,1001,5.14,180,40
08/06/2023 06:00:00,91.8,81.95,72,Mist,mist,0.0,1001,6.69,150,75
08/06/2023 07:00:00,91.74,80.22,77,Mist,mist,0.0,1002,7.2,180,75
08/06/2023 08:00:00,88.84,80.22,82,Clouds,broken clouds,0.0,1001,6.17,180,75
08/06/2023 09:00:00,87.62,81.66,78,Clouds,scattered clouds,0.0,1001,4.63,160,40
08/06/2023 10:00:00,86.63,78.66,84,Clouds,broken clouds,0.0,1001,5.14,160,75
08/06/2023 11:00:00,85.62,78.75,84,Clouds,broken clouds,0.0,1002,4.63,170,75
08/06/2023 12:00:00,85.62,77.76,85,Clouds,scattered clouds,0.0,1002,5.14,160,40
08/06/2023 13:00:00,85.62,76.75,84,Clouds,scattered clouds,0.0,1003,6.17,170,40
08/06/2023 14:00:00,84.61,75.74,86,Clouds,scattered clouds,0.0,1003,6.17,200,40
08/06/2023 15:00:00,83.62,75.74,87,Clouds,broken clouds,0.0,1003,4.12,190,75
08/06/2023 16:00:00,83.62,76.75,88,Clouds,scattered clouds,0.0,1002,5.66,180,40
08/06/2023 17:00:00,81.59,75.74,87,Clouds,broken clouds,0.0,1002,5.14,170,75
08/06/2023 18:00:00,83.62,75.74,89,Clouds,scattered clouds,0.0,1002,4.63,170,40
08/06/2023 19:00:00,83.62,75.74,89,Clouds,scattered clouds,0.0,1002,4.63,170,40
08/06/2023 20:00:00,80.64,75.74,90,Clouds,scattered clouds,0.0,1002,5.14,170,40
08/06/2023 21:00:00,83.55,78.04,87,Clouds,broken clouds,0.0,1003,3.6,170,75
08/06/2023 22:00:00,86.56,79.05,79,Clouds,scattered clouds,0.0,1004,3.09,190,40
08/06/2023 23:00:00,87.58,81.05,76,Clouds,scattered clouds,0.0,1004,3.09,180,40
08/07/2023 00:00:00,89.74,84.25,76,Clouds,broken clouds,0.0,1005,3.6,140,75
08/07/2023 01:00:00,92.75,81.95,69,Clouds,broken clouds,0.0,1005,4.12,180,75
08/07/2023 02:00:00,93.06,86.56,63,Clouds,broken clouds,0.0,1004,4.12,190,75
08/07/2023 03:00:00,94.55,88.05,60,Clouds,broken clouds,0.0,1004,5.14,200,75
08/07/2023 04:00:00,94.86,88.25,58,Clouds,broken clouds,0.0,1003,5.14,190,75
08/07/2023 05:00:00,94.86,89.13,57,Clouds,broken clouds,0.0,1003,5.66,190,75
08/07/2023 06:00:00,94.75,88.25,58,Clouds,broken clouds,0.0,1003,6.69,200,75
08/07/2023 07:00:00,94.55,88.66,59,Clouds,broken clouds,0.0,1003,6.17,190,75
08/07/2023 08:00:00,90.75,86.67,62,Clouds,broken clouds,0.0,1003,5.66,190,75
08/07/2023 09:00:00,88.81,84.74,65,Clouds,broken clouds,0.0,1004,6.17,170,75
08/07/2023 10:00:00,86.81,81.79,69,Clouds,broken clouds,0.0,1004,5.66,150,75
08/07/2023 11:00:00,86.65,80.74,71,Clouds,broken clouds,0.0,1005,6.17,160,75
08/07/2023 12:00:00,85.64,79.75,75,Clouds,broken clouds,0.0,1005,3.6,200,75
08/07/2023 13:00:00,84.63,78.75,79,Clouds,broken clouds,0.0,1006,3.6,120,75
08/07/2023 14:00:00,84.63,78.75,81,Clouds,broken clouds,0.0,1006,3.6,110,75
08/07/2023 15:00:00,84.63,79.05,84,Clouds,broken clouds,0.0,1006,3.6,120,75
08/07/2023 16:00:00,83.64,76.75,86,Clouds,broken clouds,0.0,1005,3.09,100,75
08/07/2023 17:00:00,83.64,76.75,87,Clouds,broken clouds,0.0,1005,3.09,100,75
08/07/2023 18:00:00,83.64,76.75,87,Clouds,scattered clouds,0.0,1005,2.06,90,40
08/07/2023 19:00:00,82.63,76.75,89,Clouds,few clouds,0.0,1005,4.12,70,20
08/07/2023 20:00:00,82.02,75.74,89,Clouds,few clouds,0.0,1006,3.6,60,20
08/07/2023 21:00:00,83.59,75.74,87,Clouds,few clouds,0.0,1006,4.12,60,20
08/07/2023 22:00:00,87.55,78.75,83,Clouds,scattered clouds,0.0,1006,3.6,70,40
08/07/2023 23:00:00,90.59,80.62,74,Clouds,few clouds,0.0,1006,3.6,70,20
08/08/2023 00:00:00,90.59,80.51,76,Clouds,few clouds,0.0,1007,3.6,120,20
08/08/2023 01:00:00,94.59,84.79,66,Clouds,scattered clouds,0.0,1006,3.13,302,40
08/08/2023 02:00:00,92.64,85.53,65,Clouds,broken clouds,0.0,1006,2.06,50,75
08/08/2023 03:00:00,94.55,86.67,64,Clouds,broken clouds,0.0,1007,2.24,342,75
08/08/2023 04:00:00,97.59,86.67,56,Clouds,broken clouds,0.0,1005,2.06,70,75
08/08/2023 05:00:00,96.8,89.46,54,Clouds,broken clouds,0.0,1006,3.13,158,75
08/08/2023 06:00:00,95.59,90.61,58,Clouds,broken clouds,0.0,1005,5.14,170,75
08/08/2023 07:00:00,95.81,86.76,59,Clouds,broken clouds,0.0,1005,5.66,180,75
08/08/2023 08:00:00,92.55,88.79,61,Clouds,broken clouds,0.0,1006,5.14,190,75
08/08/2023 09:00:00,91.8,87.75,64,Clouds,broken clouds,0.0,1006,5.14,200,75
08/08/2023 10:00:00,89.8,83.75,68,Clouds,broken clouds,0.0,1007,5.66,190,75
08/08/2023 11:00:00,87.8,81.75,73,Clouds,broken clouds,0.0,1007,7.2,160,75
08/08/2023 12:00:00,86.81,81.75,76,Clouds,broken clouds,0.0,1008,4.63,150,75
08/08/2023 13:00:00,85.55,81.75,79,Clouds,broken clouds,0.0,1008,3.09,130,75
08/08/2023 14:00:00,84.63,81.75,86,Clouds,broken clouds,0.0,1008,4.12,140,75
08/08/2023 15:00:00,82.8,78.75,89,Clouds,broken clouds,0.0,1008,3.09,130,75
08/08/2023 16:00:00,83.64,78.75,89,Clouds,broken clouds,0.0,1008,2.57,120,75
08/08/2023 17:00:00,83.64,78.75,89,Clouds,overcast clouds,0.0,1008,0.45,147,91
08/08/2023 18:00:00,82.63,77.76,92,Clouds,broken clouds,0.0,1008,3.6,120,75
08/08/2023 19:00:00,83.64,76.75,91,Clouds,scattered clouds,0.0,1008,3.6,100,40
08/08/2023 20:00:00,82.63,77.61,89,Clouds,broken clouds,0.0,1009,4.12,120,75
08/08/2023 21:00:00,85.55,77.76,89,Clouds,broken clouds,0.0,1009,3.6,110,75
08/08/2023 22:00:00,86.59,81.05,86,Clouds,broken clouds,0.0,1009,4.12,120,75
08/08/2023 23:00:00,86.56,81.75,82,Clouds,broken clouds,0.0,1009,3.6,120,75
08/09/2023 00:00:00,89.78,81.66,80,Clouds,broken clouds,0.0,1010,5.14,130,75
08/09/2023 01:00:00,91.58,81.64,80,Clouds,broken clouds,0.0,1010,3.6,140,75
08/09/2023 02:00:00,91.8,82.26,79,Clouds,broken clouds,0.0,1010,5.66,150,75
08/09/2023 03:00:00,89.8,81.16,82,Clouds,broken clouds,0.0,1010,8.23,170,75
08/09/2023 04:00:00,84.74,80.15,88,Mist,mist,0.0,1010,7.72,170,75
08/09/2023 05:00:00,88.56,81.64,77,Clouds,broken clouds,0.0,1009,5.66,190,75
08/09/2023 06:00:00,89.64,81.64,69,Rain,light rain,0.11,1010,4.12,200,75
08/09/2023 07:00:00,88.81,80.15,86,Rain,light intensity shower rain,1.54,1010,4.12,230,75
08/09/2023 08:00:00,83.82,80.46,89,Rain,light intensity shower rain,2.73,1010,5.66,150,75
08/09/2023 09:00:00,84.63,80.74,84,Rain,moderate rain,3.62,1010,5.66,160,75
08/09/2023 10:00:00,84.58,79.75,86,Rain,light rain,0.48,1010,5.14,150,75
08/09/2023 11:00:00,83.64,79.61,87,Clouds,broken clouds,0.0,1011,4.63,140,75
08/09/2023 12:00:00,83.64,79.05,87,Clouds,broken clouds,0.0,1011,4.12,130,75
08/09/2023 13:00:00,82.63,78.62,88,Clouds,scattered clouds,0.0,1011,4.12,130,40
08/09/2023 14:00:00,82.63,79.05,89,Clouds,few clouds,0.0,1011,3.6,140,20
08/09/2023 15:00:00,82.63,78.62,89,Clouds,few clouds,0.0,1011,4.12,130,20
08/09/2023 16:00:00,82.02,78.62,88,Clouds,few clouds,0.0,1011,3.6,130,20
08/09/2023 17:00:00,82.63,77.76,88,Clouds,broken clouds,0.0,1010,2.57,110,75
08/09/2023 18:00:00,82.02,77.61,88,Clouds,scattered clouds,0.0,1010,4.63,120,40
08/09/2023 19:00:00,83.62,77.61,89,Clouds,few clouds,0.0,1010,4.63,130,20
08/09/2023 20:00:00,82.54,77.61,87,Clouds,few clouds,0.0,1010,4.12,130,20
08/09/2023 21:00:00,82.58,77.79,85,Clouds,few clouds,0.0,1011,4.63,120,20
08/09/2023 22:00:00,85.75,79.84,78,Clouds,few clouds,0.0,1011,3.6,120,20
08/09/2023 23:00:00,87.58,80.8,71,Clouds,broken clouds,0.0,1011,3.09,120,75
08/10/2023 00:00:00,87.71,83.79,69,Clouds,scattered clouds,0.0,1012,3.6,120,40
08/10/2023 01:00:00,89.46,85.62,73,Clouds,few clouds,0.0,1013,1.54,80,20
08/10/2023 02:00:00,91.8,85.62,68,Clouds,scattered clouds,0.0,1013,3.6,140,40
08/10/2023 03:00:00,92.55,86.67,60,Clouds,scattered clouds,0.0,1010,2.06,60,40
08/10/2023 04:00:00,93.54,88.66,58,Clouds,few clouds,0.0,1010,4.12,80,20
08/10/2023 05:00:00,95.56,88.66,56,Clouds,few clouds,0.0,1009,2.06,0,20
08/10/2023 06:00:00,96.58,88.66,53,Clouds,few clouds,0.0,1009,2.57,110,20
08/10/2023 07:00:00,94.55,88.66,57,Clouds,few clouds,0.0,1008,5.14,100,20
08/10/2023 08:00:00,94.59,87.42,57,Clouds,few clouds,0.0,1008,7.2,100,20
08/10/2023 09:00:00,89.58,84.74,64,Clouds,broken clouds,0.0,1008,7.2,100,75
08/10/2023 10:00:00,87.04,83.75,72,Clouds,broken clouds,0.0,1009,7.2,110,75
